time,dt,total_free_energy
0,0,0
1,1,-31.456205945864
2,1,-27.058965167724
3,1,-23.259751484912
4,1,-19.810020174387
5,1,-16.665767639693
6,1,-13.862558553398
7,1,-11.421745930968
8,1,-9.3309654288913
9,1,-7.55632799133
10,1,-6.0562315156247
11,1,-4.7894995694652
12,1,-3.7189818242656
13,1,-2.81265358515
14,1,-2.0435494791569
15,1,-1.3892343208926
16,1,-0.83114531692485
17,1,-0.35395132290657
18,1,0.055015490561655
19,1,0.40624148075404
20,1,0.70843042645481
21,1,0.96882953992929
22,1,1.1934941582773
23,1,1.3875020354875
24,1,1.5551267451868
25,1,1.6999781393098
26,1,1.8251163503873
27,1,1.9331445666494
28,1,2.0262847645679
29,1,2.1064397355865
30,1,2.1752440643935
31,1,2.2341061756997
32,1,2.2842431382802
33,1,2.3267095762756
34,1,2.3624217697172
35,1,2.392177813953
36,1,2.4166745392066
37,1,2.4365217575251
38,1,2.4522542975279
39,1,2.4643422019084
40,1,2.4731993940768
41,1,2.4791910651385
42,1,2.482639987841
43,1,2.4838319280118
44,1,2.4830202946662
45,1,2.4804301460302
46,1,2.4762616491466
47,1,2.4706930746687
48,1,2.4638833952184
49,1,2.4559745447673
50,1,2.4470933874555
51,1,2.437353436753
52,1,2.4268563596117
53,1,2.4156932950323
54,1,2.4039460120951
55,1,2.3916879288286
56,1,2.3789850101978
57,1,2.3658965608842
58,1,2.3524759263213
59,1,2.3387711135769
60,1,2.3248253420833
61,1,2.3106775328581
62,1,2.2963627437063
63,1,2.2819125568983
64,1,2.2673554249748
65,1,2.2527169795977
66,1,2.2380203077396
67,1,2.2232861989642
68,1,2.2085333670799
69,1,2.1937786490483
70,1,2.1790371836743
71,1,2.1643225723028
72,1,2.1496470234814
73,1,2.1350214833156
74,1,2.1204557530445
75,1,2.1059585951859
76,1,2.0915378294472
77,1,2.0772004194632
78,1,2.0629525513012
79,1,2.0487997045726
80,1,2.0347467168943
81,1,2.0207978423658
82,1,2.006956804655
83,1,1.9932268452196
84,1,1.9796107671415
85,1,1.9661109749937
86,1,1.9527295111234
87,1,1.9394680886895
88,1,1.9263281217608
89,1,1.9133107527513
90,1,1.9004168774373
91,1,1.8876471677827
92,1,1.8750020927691
93,1,1.8624819374155
94,1,1.8500868201483
95,1,1.8378167086722
96,1,1.8256714344722
97,1,1.813650706071
98,1,1.8017541211495
99,1,1.78998117763
100,1,1.7783312838125
101,1,1.7668037676465
102,1,1.7553978852112
103,1,1.7441128284728
104,1,1.732947732381
105,1,1.7219016813589
106,1,1.7109737152385
107,1,1.7001628346893
108,1,1.6894680061796
109,1,1.6788881665128
110,1,1.6684222269707
111,1,1.6580690770991
112,1,1.6478275881628
113,1,1.6376966162992
114,1,1.6276750053935
115,1,1.6177615896991
116,1,1.6079551962246
117,1,1.5982546469043
118,1,1.5886587605726
119,1,1.5791663547558
120,1,1.5697762472975
121,1,1.5604872578306
122,1,1.5512982091085
123,1,1.5422079282069
124,1,1.5332152476063
125,1,1.5243190061657
126,1,1.5155180499956
127,1,1.5068112332389
128,1,1.4981974187671
129,1,1.4896754787985
130,1,1.4812442954456
131,1,1.4729027611963
132,1,1.4646497793359
133,1,1.456484264313
134,1,1.4484051420559
135,1,1.4404113502422
136,1,1.4325018385265
137,1,1.4246755687289
138,1,1.4169315149887
139,1,1.4092686638855
140,1,1.4016860145309
141,1,1.3941825786335
142,1,1.3867573805392
143,1,1.3794094572496
144,1,1.3721378584199
145,1,1.3649416463391
146,1,1.3578198958925
147,1,1.3507716945112
148,1,1.3437961421059
149,1,1.3368923509904
150,1,1.3300594457932
151,1,1.3232965633603
152,1,1.3166028526482
153,1,1.3099774746106
154,1,1.3034196020772
155,1,1.2969284196275
156,1,1.2905031234588
157,1,1.2841429212503
158,1,1.2778470320226
159,1,1.2716146859947
160,1,1.2654451244384
161,1,1.2593375995296
162,1,1.2532913741987
163,1,1.2473057219794
164,1,1.2413799268562
165,1,1.235513283112
166,1,1.2297050951748
167,1,1.2239546774645
168,1,1.2182613542397
169,1,1.2126244594457
170,1,1.2070433365625
171,1,1.2015173384534
172,1,1.1960458272158
173,1,1.1906281740319
174,1,1.1852637590211
175,1,1.1799519710944
176,1,1.1746922078097
177,1,1.1694838752287
178,1,1.1643263877761
179,1,1.1592191680999
180,1,1.1541616469339
181,1,1.1491532629621
182,1,1.144193462685
183,1,1.1392817002878
184,1,1.1344174375106
185,1,1.1296001435208
186,1,1.1248292947874
187,1,1.1201043749572
188,1,1.1154248747336
189,1,1.1107902917567
190,1,1.1062001304861
191,1,1.1016539020858
192,1,1.0971511243102
193,1,1.0926913213935
194,1,1.08827402394
195,1,1.0838987688172
196,1,1.0795650990503
197,1,1.0752725637192
198,1,1.0710207178566
199,1,1.0668091223493
200,1,1.0626373438404
